,Codigo,lon,lat,Profundidad,Flujo_calor,Pesos,Flux_x_wts,geometry,Sed_thickness (m),Age (Ma)
37,AL732.4,-86.12545,0.6352944444999999,-2769.0,113.0,0.20919566720372668,23.639110394021117,POINT (-86.12545 0.6352944444999999),62.0,2.6
38,AL732.5,-86.12545,0.6343055555,-2674.0,251.0,0.20919566720372668,52.508112468135394,POINT (-86.12545 0.6343055555),62.0,2.6
39,AL732.6,-86.12545,0.6254333335,-2670.0,92.0,0.20919566720372668,19.24600138274285,POINT (-86.12545 0.6254333335),62.0,3.0
40,AL732.7,-86.1333,0.6244444444999999,-2676.0,193.0,0.20919566720372668,40.374763770319255,POINT (-86.13330000000001 0.6244444444999999),74.0,3.0
41,AL732.8,-86.1343,0.6244444444999999,-2670.0,1030.0,0.20919566720372668,215.4715372198385,POINT (-86.1343 0.6244444444999999),74.0,3.0
42,AL732.9,-86.1353,0.6234555555,-2672.0,33.0,0.20919566720372668,6.903457017722981,POINT (-86.1353 0.6234555555),74.0,3.0
43,AL734.1,-86.08914999999998,0.5686111110000001,-2721.0,1046.0,0.20919566720372668,218.8186678950981,POINT (-86.08914999999998 0.5686111110000001),62.0,3.0
45,AL734.2,-86.08914999999998,0.5696,-2734.0,1147.0,0.20919566720372668,239.94743028267447,POINT (-86.08914999999998 0.5696),62.0,3.0
46,AL734.3,-86.08914999999998,0.5696,-2734.0,988.0,0.20919566720372668,206.68531919728198,POINT (-86.08914999999998 0.5696),62.0,3.0
48,AL734.5,-86.09015,0.5696,-2745.0,27.0,0.20919566720372668,5.64828301450062,POINT (-86.09014999999999 0.5696),62.0,3.0
52,AL734.9,-86.09999999999998,0.5754333335,-2730.0,239.0,0.20919566720372668,49.997764461690686,POINT (-86.09999999999998 0.5754333335),62.0,3.0
53,AV21-29,-90.4667,-1.833333333,-3334.0,139.0,8.744276164961951,1215.4543869297113,POINT (-90.4667 -1.833333333),484.0,15.7
54,C11-133,-85.81699999999998,-1.517,-2573.0,101.0,1.2952946877929272,130.82476346708566,POINT (-85.81699999999998 -1.517),183.0,14.3
55,C13-27,-94.4667,4.9833,-3488.0,11.0,5.0069486519190125,55.07643517110914,POINT (-94.4667 4.9833),272.0,12.0
56,C13-28,-94.1333,1.8167,-2659.0,15.0,5.151167122623722,77.26750683935582,POINT (-94.13330000000001 1.8167),162.0,3.7
57,C13-29,-90.9333,4.75,-3034.0,26.0,3.1761792761823786,82.58066118074184,POINT (-90.9333 4.75),188.0,12.8
58,C13-30,-87.75,2.8666833335,-2239.0,121.0,1.1477032432738214,138.87209243613242,POINT (-87.75 2.8666833335),174.0,7.3
59,C13-31,-85.15,-1.0,-2407.0,24.15,1.3229856612768394,31.950103719835674,POINT (-85.15000000000001 -1),147.0,11.9
60,C13-32,-82.4333,4.4667,-3550.0,17.0,2.107969716466462,35.835485179929854,POINT (-82.4333 4.4667),117.0,3.9
61,C13-6,-95.65,0.1333,-3250.0,136.0,11.25414540198156,1530.563774669492,POINT (-95.65000000000001 0.1333),314.0,10.0
62,C13-7,-98.6833,-0.5333,-3254.0,333.0,18.069458065508545,6017.129535814344,POINT (-98.6833 -0.5333),208.0,5.8
63,C13-8,-101.3667,-1.2,-3301.0,78.0,31.898401805166483,2488.075340802985,POINT (-101.3667 -1.2),61.0,1.8
64,C21-14A,-83.76759999999999,1.1666833335,-3461.0,224.0,0.26410855495223645,59.16031630930097,POINT (-83.76759999999999 1.1666833335),269.0,6.8
65,C21-14B,-83.74205,1.1744444445,-3407.0,210.0,0.26410855495223645,55.462796539969645,POINT (-83.74205000000001 1.1744444445),269.0,6.8
66,C21-14C,-83.75099999999998,1.1852944445000002,-3395.0,254.0,0.26410855495223645,67.08357295786806,POINT (-83.75099999999998 1.1852944445),269.0,6.8
67,C21-14D,-83.74115,1.191127778,-3446.0,185.0,0.26410855495223645,48.86008266616374,POINT (-83.74115 1.191127778),269.0,6.8
68,C21-14E,-83.74115,1.201927778,-3463.0,155.0,0.26410855495223645,40.93682601759665,POINT (-83.74115 1.201927778),269.0,6.8
69,C21-14F,-83.75,1.2166833334999998,-3480.0,218.0,0.26410855495223645,57.575664979587536,POINT (-83.75 1.2166833335),269.0,6.8
70,C21-14G,-83.75,1.2166833334999998,-3472.0,216.0,0.26410855495223645,57.047447869683076,POINT (-83.75 1.2166833335),269.0,6.8
71,C21-14H,-83.75099999999998,1.2352944445,-3422.0,181.0,0.26410855495223645,47.8036484463548,POINT (-83.75099999999998 1.2352944445),258.0,6.5
72,C21-14I,-83.75289999999998,1.250988889,-3425.0,196.0,0.26410855495223645,51.765276770638344,POINT (-83.75289999999998 1.250988889),258.0,6.5
73,C21-15A,-83.7568,1.4009888890000002,-3540.0,162.0,0.3125489538390634,50.63293052192827,POINT (-83.7568 1.400988889),248.0,6.2
74,C21-15B,-83.75585000000002,1.3744444445,-3531.0,193.0,0.3125489538390634,60.321948090939244,POINT (-83.75585000000002 1.3744444445),250.0,6.2
75,C21-15C,-83.7568,1.357761111,-3497.0,185.0,0.3125489538390634,57.821556460226724,POINT (-83.7568 1.357761111),250.0,6.2
76,C21-15D,-83.75389999999999,1.35,-3489.0,190.0,0.3125489538390634,59.384301229422036,POINT (-83.75389999999999 1.35),250.0,6.2
77,C21-15E,-83.75389999999999,1.3225166665,-3456.0,182.0,0.3125489538390634,56.883909598709536,POINT (-83.75389999999999 1.3225166665),250.0,6.5
78,C21-15F,-83.75585000000002,1.317622222,-3429.0,179.0,0.3125489538390634,55.946262737192356,POINT (-83.75585000000002 1.317622222),250.0,6.5
79,C21-15G,-83.75585000000002,1.2862333335,-3433.0,300.0,0.3125489538390634,93.76468615171902,POINT (-83.75585000000002 1.2862333335),258.0,6.5
80,C21-15H,-83.75389999999999,1.267622222,-3459.0,187.0,0.3125489538390634,58.44665436790486,POINT (-83.75389999999999 1.267622222),258.0,6.5
81,C21-15I,-83.75195,1.250988889,-3440.0,192.0,0.26410855495223645,50.7088425508294,POINT (-83.75194999999999 1.250988889),258.0,6.5
82,C21-16A,-83.65775,1.1705388890000001,-3384.0,180.0,0.26410855495223645,47.53953989140256,POINT (-83.65774999999999 1.170538889),276.0,7.1
83,C21-16B,-83.68529999999998,1.168611111,-3407.0,174.0,0.26410855495223645,45.95488856168914,POINT (-83.68529999999998 1.168611111),276.0,6.8
84,C21-16C,-83.70389999999998,1.1666833335,-3425.0,198.0,0.26410855495223645,52.29349388054282,POINT (-83.70389999999998 1.1666833335),276.0,6.8
85,C21-16D,-83.7196,1.157761111,-3437.0,172.0,0.26410855495223645,45.42667145178467,POINT (-83.7196 1.157761111),269.0,6.8
86,C21-16E,-83.73624999999998,1.1558333335,-3456.0,195.0,0.26410855495223645,51.501168215686114,POINT (-83.73624999999998 1.1558333335),269.0,6.8
87,C21-16F,-83.74015,1.1558333335,-3459.0,175.0,0.26410855495223645,46.218997116641376,POINT (-83.74015 1.1558333335),269.0,6.8
88,C21-16G,-83.75585000000002,1.1558333335,-3463.0,193.0,0.26410855495223645,50.97295110578163,POINT (-83.75585000000002 1.1558333335),269.0,6.8
89,C21-16H,-83.7667,1.1558333335,-3459.0,220.0,0.26410855495223645,58.103882089492025,POINT (-83.7667 1.1558333335),269.0,6.8
90,C21-16I,-83.78329999999998,1.1558333335,-3459.0,236.0,0.26410855495223645,62.3296189687278,POINT (-83.78329999999998 1.1558333335),269.0,6.5
