,Codigo,lon,lat,Profundidad,Flujo_calor,Pesos,Flux_x_wts
65,C21-14B,-83.74205,1.1744444445,-3407.0,210.0,0.26410855495223645,55.46279653996965
66,C21-14C,-83.75099999999999,1.1852944445000002,-3395.0,254.0,0.26410855495223645,67.08357295786806
67,C21-14D,-83.74115,1.191127778,-3446.0,185.0,0.26410855495223645,48.86008266616374
68,C21-14E,-83.74115,1.201927778,-3463.0,155.0,0.26410855495223645,40.93682601759665
69,C21-14F,-83.75,1.2166833334999998,-3480.0,218.0,0.26410855495223645,57.57566497958754
70,C21-14G,-83.75,1.2166833334999998,-3472.0,216.0,0.26410855495223645,57.047447869683076
71,C21-14H,-83.75099999999999,1.2352944445,-3422.0,181.0,0.26410855495223645,47.8036484463548
72,C21-14I,-83.75289999999998,1.250988889,-3425.0,196.0,0.26410855495223645,51.765276770638344
73,C21-15A,-83.7568,1.4009888890000002,-3540.0,162.0,0.3125489538390634,50.63293052192827
74,C21-15B,-83.75585000000001,1.3744444445,-3531.0,193.0,0.3125489538390634,60.32194809093924
75,C21-15C,-83.7568,1.3577611109999999,-3497.0,185.0,0.3125489538390634,57.82155646022673
76,C21-15D,-83.75389999999999,1.35,-3489.0,190.0,0.3125489538390634,59.38430122942204
77,C21-15E,-83.75389999999999,1.3225166664999999,-3456.0,182.0,0.3125489538390634,56.883909598709536
78,C21-15F,-83.75585000000001,1.317622222,-3429.0,179.0,0.3125489538390634,55.94626273719235
79,C21-15G,-83.75585000000001,1.2862333335,-3433.0,300.0,0.3125489538390634,93.76468615171902
80,C21-15H,-83.75389999999999,1.267622222,-3459.0,187.0,0.3125489538390634,58.446654367904856
81,C21-15I,-83.75195,1.250988889,-3440.0,192.0,0.26410855495223645,50.7088425508294
82,C21-16A,-83.65775,1.170538889,-3384.0,180.0,0.26410855495223645,47.53953989140256
83,C21-16B,-83.68529999999998,1.168611111,-3407.0,174.0,0.26410855495223645,45.954888561689145
84,C21-16C,-83.70389999999999,1.1666833335,-3425.0,198.0,0.26410855495223645,52.29349388054282
85,C21-16D,-83.7196,1.1577611110000001,-3437.0,172.0,0.26410855495223645,45.42667145178467
86,C21-16E,-83.73624999999998,1.1558333335,-3456.0,195.0,0.26410855495223645,51.50116821568611
87,C21-16F,-83.74015,1.1558333335,-3459.0,175.0,0.26410855495223645,46.218997116641376
88,C21-16G,-83.75585000000001,1.1558333335,-3463.0,193.0,0.26410855495223645,50.97295110578163
89,C21-16H,-83.7667,1.1558333335,-3459.0,220.0,0.26410855495223645,58.10388208949202
90,C21-16I,-83.78329999999998,1.1558333335,-3459.0,236.0,0.26410855495223645,62.3296189687278
91,C21-16J,-83.8039,1.156822222,-3455.0,226.0,0.26410855495223645,59.68853341920544
92,C21-16K,-83.82249999999999,1.1577611110000001,-3463.0,230.0,0.26410855495223645,60.744967639014384
93,C21-17A,-83.80194999999999,1.9420666665000001,-3361.0,14.0,0.3125489538390634,4.375685353746888
94,C21-17B,-83.80099999999999,1.8352944445000001,-3179.0,101.0,0.3125489538390634,31.567444337745403
95,C21-17C,-83.80099999999999,1.8577611109999999,-3299.0,50.0,0.3125489538390634,15.62744769195317
96,C21-17D,-83.79115,1.8754333334999997,-3376.0,66.0,0.3125489538390634,20.628230953378186
97,C21-17E,-83.8176,1.906822222,-3356.0,88.0,0.3125489538390634,27.504307937837577
98,C21-17F,-83.80874999999999,1.921527778,-3504.0,35.0,0.3125489538390634,10.93921338436722
99,C21-17G,-83.80775,1.9352944445000002,-3527.0,9.0,0.3125489538390634,2.8129405845515705
100,C21-17H,-83.80680000000001,1.938211111,-3450.0,11.0,0.3125489538390634,3.438038492229697
101,C21-17I,-83.80485,1.951927778,-3370.0,23.0,0.3125489538390634,7.188625938298458
102,C21-17J,-83.80485,1.95875,-3356.0,27.0,0.3125489538390634,8.438821753654711
103,C21-17K,-83.80485,1.9725166665,-3122.0,55.0,0.3125489538390634,17.190192461148488
104,C21-17L,-83.8029,1.991127778,-3277.0,108.0,0.3125489538390634,33.755287014618844
105,C21-18A,-83.79015000000001,1.6725166665,-3158.0,60.0,0.3125489538390634,18.752937230343804
106,C21-18B,-83.79115,1.700988889,-3101.0,96.0,0.3125489538390634,30.004699568550087
107,C21-18C,-83.8029,1.7176222220000001,-3135.0,50.0,0.3125489538390634,15.62744769195317
108,C21-18D,-83.80874999999999,1.7352944445,-3197.0,80.0,0.3125489538390634,25.00391630712507
109,C21-18E,-83.8196,1.750988889,-3158.0,73.0,0.3125489538390634,22.816073630251626
110,C21-18F,-83.82249999999999,1.7696,-3211.0,65.0,0.3125489538390634,20.31568199953912
111,C21-18G,-83.82249999999999,1.7891499999999998,-3235.0,83.0,0.3125489538390634,25.94156316864226
112,C21-18H,-83.82249999999999,1.791127778,-3211.0,24.0,0.3125489538390634,7.501174892137522
113,C21-18I,-83.82345000000001,1.820538889,-3233.0,76.0,0.3125489538390634,23.753720491768817
114,C21-19A,-83.80680000000001,1.520538889,-3375.0,133.0,0.3125489538390634,41.569010860595434
115,C21-19B,-83.80680000000001,1.5,-3390.0,180.0,0.3125489538390634,56.25881169103141
116,C21-19C,-83.80194999999999,1.4862333335,-3358.0,178.0,0.3125489538390634,55.633713783353286
117,C21-19D,-83.82055,1.4019277780000001,-3520.0,160.0,0.3125489538390634,50.00783261425014
118,C21-19E,-83.82055,1.418611111,-3489.0,160.0,0.3125489538390634,50.00783261425014
119,C21-19F,-83.82249999999999,1.4254333335,-3450.0,180.0,0.3125489538390634,56.25881169103141
120,C21-19G,-83.82544999999999,1.440138889,-3388.0,178.0,0.3125489538390634,55.633713783353286
121,C21-6,-83.747,1.192,-3305.0,200.0,0.26410855495223645,52.82171099044729
122,C21-7,-83.80299999999998,1.925,-3431.0,30.0,0.3125489538390634,9.376468615171902
123,C21-TG6,-83.74115,1.188211111,-3375.0,200.0,0.26410855495223645,52.82171099044729
124,C21-TG7,-83.80194999999999,1.921527778,-3504.0,30.0,0.3125489538390634,9.376468615171902
125,C8-78,-86.84999999999998,-1.417,-2180.0,31.0,1.6983437243866222,52.648655455985285
126,C9-45,-78.733,6.833,-3250.0,272.0,8.351515414912214,2271.6121928561224
127,C9-47,-78.29999999999998,5.5,-3135.0,122.0,12.03237031089441,1467.949177929118
128,C9-48,-79.25,2.517,-2074.0,57.0,5.7191801190844895,325.9932667878159
129,C9-50,-82.15,0.817,-3091.0,29.0,1.303729573349576,37.8081576271377
130,C9-52,-82.6833,-2.5333,-2957.0,117.0,3.375939705049899,394.9849454908382
131,CCTW1,-83.485,5.2525,-3211.0,146.0,1.3405093990061372,195.71437225489603
