,Codigo,lon,lat,Profundidad,Flujo_calor,HFU,Pesos,Flux_x_wts,geometry,Sed_thickness (m),Age (Ma),Etapa_termica,No_etapa,Lister HFU,obs-teo HFU,Clasificador,No_class
0,27HF23,-86.86669999999998,3.537222222,-2136.0,65.85,1.5727251015046573,0.9422313853826084,62.045936727444754,POINT (-86.86669999999998 3.537222222),279.0,10.1,Oligocene,4,3.7759006531653156,-2.2031755516606584,Neutro,2
1,28HF24,-86.99115,2.9509888890000004,-2870.0,267.0,6.376880821590638,0.7922697878403634,211.53603335337704,POINT (-86.99115 2.950988889),211.0,7.6,Quaternary,1,4.35285750066007,2.024023320930568,Neutro,2
2,29HF25,-86.90679999999998,2.720538889,-2690.0,211.0,5.0394076904705045,0.7922697878403634,167.1689252343167,POINT (-86.90679999999998 2.720538889),203.0,5.9,Quaternary,1,4.940321817555709,0.0990858729147952,Neutro,2
3,31HF27,-87.0196,2.150988889,-2824.0,187.0,4.466204919990447,0.6606851026842488,123.54811420195452,POINT (-87.0196 2.150988889),159.0,3.6,Pliocene,2,6.324555320336759,-1.8583504003463123,Neutro,2
4,32HF28,-87.0529,2.0343055555,-2503.0,234.0,5.588727012180559,0.6606851026842488,154.60031402811424,POINT (-87.05289999999999 2.0343055555),145.0,3.1,Quaternary,1,6.815542010964778,-1.226814998784219,Neutro,2
5,33HF29,-86.83429999999998,2.3029166665000003,-2878.0,196.0,4.681155958920469,0.7922697878403634,155.28487841671122,POINT (-86.83429999999998 2.3029166665),163.0,3.6,Quaternary,1,6.324555320336759,-1.6433993614162903,Neutro,2
6,34HF30,-86.851,2.501927778,-3096.0,21.9,0.5230475280630523,0.7922697878403634,17.350708353703958,POINT (-86.851 2.501927778),186.0,4.5,Late Jurassic,10,5.65685424949238,-5.133806721429328,Frío,1
7,35HF31,-86.87545,2.688211111,-2721.0,48.8,1.1655122999761165,0.7922697878403634,38.66276564660973,POINT (-86.87545 2.688211111),202.0,5.5,Late Jurassic,10,5.116817192534651,-3.951304892558534,Frío,1
8,37HF33,-87.2196,2.5333166665,-2906.0,10.95,0.26152376403152616,0.7922697878403634,8.675354176851979,POINT (-87.2196 2.5333166665),195.0,5.6,Late Jurassic,10,5.0709255283711,-4.809401764339573,Frío,1
9,38HF34,-87.25195,2.337222222,-2736.0,188.0,4.490088368760449,0.7922697878403634,148.9467201139883,POINT (-87.25194999999999 2.337222222),185.0,5.1,Quaternary,1,5.313689313240571,-0.8236009444801224,Neutro,2
10,39HF35,-87.43719999999998,2.5529166665000003,-2590.0,53.1,1.268211129687127,0.7922697878403634,42.0695257343233,POINT (-87.43719999999998 2.5529166665),196.0,6.1,Late Jurassic,10,4.858657981073496,-3.5904468513863694,Frío,1
